# Table from https://en.wikipedia.org/wiki/List_of_cities_in_Germany_by_population
2015 rank,City,State,2015 Estimate,2011 Census,Change,2015 land area,2015 population density,Location
43,Saarbrücken,Saarland,"178,151","175,853",+1.31%,167.09 km264.51 sq mi,"1,066/km22,760/sq mi",49°14′N 7°0′E﻿ / ﻿49.233°N 7.000°E
44,Mülheim an der Ruhr,North Rhine-Westphalia,"169,278","166,865",+1.45%,91.28 km235.24 sq mi,"1,854/km24,800/sq mi",51°26′N 6°53′E﻿ / ﻿51.433°N 6.883°E
45,Potsdam,Brandenburg,"167,745","156,021",+7.51%,188.26 km272.69 sq mi,"891/km22,310/sq mi",52°24′N 13°4′E﻿ / ﻿52.400°N 13.067°E
46,Ludwigshafen am Rhein,Rhineland-Palatinate,"164,718","157,584",+4.53%,77.55 km229.94 sq mi,"2,124/km25,500/sq mi",49°29′N 8°26′E﻿ / ﻿49.483°N 8.433°E
47,Oldenburg,Lower Saxony,"163,830","157,267",+4.17%,102.99 km239.76 sq mi,"1,591/km24,120/sq mi",53°8′N 8°13′E﻿ / ﻿53.133°N 8.217°E
48,Leverkusen,North Rhine-Westphalia,"163,487","158,984",+2.83%,78.87 km230.45 sq mi,"2,073/km25,370/sq mi",51°2′N 6°59′E﻿ / ﻿51.033°N 6.983°E
49,Osnabrück,Lower Saxony,"162,403","153,699",+5.66%,119.8 km246.3 sq mi,"1,356/km23,510/sq mi",52°17′N 8°3′E﻿ / ﻿52.283°N 8.050°E
50,Solingen,North Rhine-Westphalia,"158,726","155,265",+2.23%,89.54 km234.57 sq mi,"1,773/km24,590/sq mi",51°10′N 7°5′E﻿ / ﻿51.167°N 7.083°E
51,Heidelberg,Baden-Württemberg,"156,267","146,751",+6.48%,108.84 km242.02 sq mi,"1,436/km23,720/sq mi",49°25′N 8°43′E﻿ / ﻿49.417°N 8.717°E
52,Herne,North Rhine-Westphalia,"155,851","155,160",+0.45%,51.42 km219.85 sq mi,"3,031/km27,850/sq mi",51°33′N 7°13′E﻿ / ﻿51.550°N 7.217°E
53,Neuss,North Rhine-Westphalia,"155,414","150,568",+3.22%,99.52 km238.42 sq mi,"1,562/km24,050/sq mi",51°12′N 6°42′E﻿ / ﻿51.200°N 6.700°E
54,Darmstadt,Hesse,"155,353","143,499",+8.26%,122.09 km247.14 sq mi,"1,272/km23,290/sq mi",49°52′N 8°39′E﻿ / ﻿49.867°N 8.650°E
55,Paderborn,North Rhine-Westphalia,"148,126","142,365",+4.05%,179.59 km269.34 sq mi,"825/km22,140/sq mi",51°43′N 8°46′E﻿ / ﻿51.717°N 8.767°E
56,Regensburg,Bavaria,"145,465","135,403",+7.43%,80.7 km231.2 sq mi,"1,803/km24,670/sq mi",49°1′N 12°5′E﻿ / ﻿49.017°N 12.083°E
57,Ingolstadt,Bavaria,"132,438","124,927",+6.01%,133.37 km251.49 sq mi,"993/km22,570/sq mi",48°46′N 11°26′E﻿ / ﻿48.767°N 11.433°E
58,Würzburg,Bavaria,"124,873","124,297",+0.46%,87.63 km233.83 sq mi,"1,425/km23,690/sq mi",49°47′N 9°56′E﻿ / ﻿49.783°N 9.933°E
59,Fürth,Bavaria,"124,171","115,613",+7.40%,63.35 km224.46 sq mi,"1,960/km25,100/sq mi",49°28′N 11°0′E﻿ / ﻿49.467°N 11.000°E
60,Wolfsburg,Lower Saxony,"124,045","119,984",+3.38%,204.09 km278.80 sq mi,"608/km21,570/sq mi",52°25′23″N 10°47′14″E﻿ / ﻿52.42306°N 10.78722°E
61,Offenbach am Main,Hesse,"123,734","113,443",+9.07%,44.89 km217.33 sq mi,"2,756/km27,140/sq mi",50°6′N 8°48′E﻿ / ﻿50.100°N 8.800°E
62,Ulm,Baden-Württemberg,"122,636","116,761",+5.03%,118.69 km245.83 sq mi,"1,033/km22,680/sq mi",48°24′N 9°59′E﻿ / ﻿48.400°N 9.983°E
