# Table from https://simple.wikipedia.org/wiki/List_of_cities_in_France
Commune,Department,Region,Pop. 2013census,Rank
Biarritz,Pyrénées-Atlantiques,Nouvelle-Aquitaine,"24,993",348
Le Grand-Quevilly,Seine-Maritime,Normandy,"24,967",349
Orvault,Loire-Atlantique,Pays de la Loire,"24,922",350
Les Ulis,Essonne,Île-de-France,"24,914",351
Champs-sur-Marne,Seine-et-Marne,Île-de-France,"24,913",352
Rochefort,Charente-Maritime,Nouvelle-Aquitaine,"24,761",353
Muret,Haute-Garonne,Occitanie,"24,725",354
Sainte-Anne,Guadeloupe,Guadeloupe,"24,653",355
Eaubonne,Val-d'Oise,Île-de-France,"24,606",356
Étampes,Essonne,Île-de-France,"24,502",357
Gradignan,Gironde,Nouvelle-Aquitaine,"24,439",358
Vernon,Eure,Normandy,"24,064",359
Petit-Bourg,Guadeloupe,Guadeloupe,"24,039",360
Libourne,Gironde,Nouvelle-Aquitaine,"23,947",361
Abbeville,Somme,Hauts-de-France,"23,821",362
Rodez,Aveyron,Occitanie,"23,741",363
Saint-Ouen-l'Aumône,Val-d'Oise,Île-de-France,"23,702",364
Torcy,Seine-et-Marne,Île-de-France,"23,669",365
Maisons-Laffitte,Yvelines,Île-de-France,"23,565",366
Montgeron,Essonne,Île-de-France,"23,565",367
Villeneuve-sur-Lot,Lot-et-Garonne,Nouvelle-Aquitaine,"23,462",368
Cormeilles-en-Parisis,Val-d'Oise,Île-de-France,"23,419",369
Épernay,Marne,Grand Est,"23,413",370
Sèvres,Hauts-de-Seine,Île-de-France,"23,404",371
Dole,Jura,Bourgogne-Franche-Comté,"23,312",372
Le Robert,Martinique,Martinique,"23,296",373
Le Bouscat,Gironde,Nouvelle-Aquitaine,"23,207",374
Blagnac,Haute-Garonne,Occitanie,"22,969",375
Frontignan,Hérault,Occitanie,"22,942",376
Cenon,Gironde,Nouvelle-Aquitaine,"22,882",377
Mandelieu-la-Napoule,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,"22,864",378
Vertou,Loire-Atlantique,Pays de la Loire,"22,820",379
Les Lilas,Seine-Saint-Denis,Île-de-France,"22,819",380
Bruay-la-Buissière,Pas-de-Calais,Hauts-de-France,"22,802",381
Les Pavillons-sous-Bois,Seine-Saint-Denis,Île-de-France,"22,680",382
Chaumont,Haute-Marne,Grand Est,"22,560",383
Roissy-en-Brie,Seine-et-Marne,Île-de-France,"22,559",384
Le Moule,Guadeloupe,Guadeloupe,"22,456",385
Le Petit-Quevilly,Seine-Maritime,Normandy,"22,426",386
Manosque,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,"22,412",387
Saint-Mandé,Val-de-Marne,Île-de-France,"22,398",388
Fontenay-aux-Roses,Hauts-de-Seine,Île-de-France,"22,378",389
Orly,Val-de-Marne,Île-de-France,"22,377",390
Le Creusot,Saône-et-Loire,Bourgogne-Franche-Comté,"22,308",391
Oyonnax,Ain,Auvergne-Rhône-Alpes,"22,258",392
La Madeleine,Nord,Hauts-de-France,"22,243",393
Sainte-Suzanne,Réunion,Réunion,"22,209",394
Millau,Aveyron,Occitanie,"22,205",395
Combs-la-Ville,Seine-et-Marne,Île-de-France,"22,086",396
Fontaine,Isère,Auvergne-Rhône-Alpes,"22,066",397
Deuil-la-Barre,Val-d'Oise,Île-de-France,"22,031",398
Coudekerque-Branche,Nord,Hauts-de-France,"22,015",399
Auch,Gers,Occitanie,"21,962",400
Lanester,Morbihan,Brittany,"21,874",401
Beaune,Côte-d'Or,Bourgogne-Franche-Comté,"21,838",402
Montigny-lès-Metz,Moselle,Grand Est,"21,831",403
Hazebrouck,Nord,Hauts-de-France,"21,737",404
Longjumeau,Essonne,Île-de-France,"21,657",405
Sainte-Foy-lès-Lyon,Rhône,Auvergne-Rhône-Alpes,"21,646",406
Forbach,Moselle,Grand Est,"21,596",407
Sarreguemines,Moselle,Grand Est,"21,572",408
Mons-en-Barœul,Nord,Hauts-de-France,"21,513",409
La Valette-du-Var,Var,Provence-Alpes-Côte d'Azur,"21,463",410
Hérouville-Saint-Clair,Calvados,Normandy,"21,393",411
Morsang-sur-Orge,Essonne,Île-de-France,"21,377",412
Grande-Synthe,Nord,Hauts-de-France,"21,364",413
La Celle-Saint-Cloud,Yvelines,Île-de-France,"21,264",414
Lisieux,Calvados,Normandy,"21,132",415
Croix,Nord,Hauts-de-France,"21,114",416
Dammarie-les-Lys,Seine-et-Marne,Île-de-France,"21,094",417
Vélizy-Villacoublay,Yvelines,Île-de-France,"20,997",418
Wasquehal,Nord,Hauts-de-France,"20,990",419
Saint-Gratien,Val-d'Oise,Île-de-France,"20,933",420
Halluin,Nord,Hauts-de-France,"20,915",421
Neuilly-Plaisance,Seine-Saint-Denis,Île-de-France,"20,840",422
Montmorency,Val-d'Oise,Île-de-France,"20,796",423
Dax,Landes,Nouvelle-Aquitaine,"20,776",424
Lagny-sur-Marne,Seine-et-Marne,Île-de-France,"20,718",425
Le Mée-sur-Seine,Seine-et-Marne,Île-de-France,"20,713",426
Saint-Genis-Laval,Rhône,Auvergne-Rhône-Alpes,"20,696",427
Fleury-les-Aubrais,Loiret,Centre-Val de Loire,"20,677",428
Loos,Nord,Hauts-de-France,"20,650",429
Gif-sur-Yvette,Essonne,Île-de-France,"20,631",430
Denain,Nord,Hauts-de-France,"20,549",431
Saint-Dié-des-Vosges,Vosges,Grand Est,"20,471",432
Sainte-Rose,Guadeloupe,Guadeloupe,"20,144",433
Saint-Michel-sur-Orge,Essonne,Île-de-France,"20,057",434
